strategy,symbol,trade_date,signal_dt,signal,direction,entry_dt,exit_dt,entry_price,exit_price,ret,ret_bp,N,K1,K2,day_open,range,buy_line,sell_line
DualThrust_N3_K10_10,000852.XSHG,2020-01-07,2020-01-07 09:45:00,做多_DualThrust,多头,2020-01-07 09:50:00,2020-01-07 14:55:00,5790.99,5847.62,0.009778984249670719,97.79,3,0.1,0.1,5772.66,178.58999999999924,5790.519,5754.8009999999995
DualThrust_N3_K10_10,000852.XSHG,2020-01-08,2020-01-08 10:55:00,做多_DualThrust,多头,2020-01-08 11:00:00,2020-01-08 14:55:00,5852.19,5774.8,-0.013224109265078443,-132.24,3,0.1,0.1,5827.38,184.6199999999999,5845.842000000001,5808.918
DualThrust_N3_K10_10,000852.XSHG,2020-01-09,2020-01-09 09:45:00,做多_DualThrust,多头,2020-01-09 09:50:00,2020-01-09 14:55:00,5839.67,5858.44,0.0032142227214893015,32.14,3,0.1,0.1,5815.74,182.01999999999953,5833.942,5797.538
DualThrust_N3_K10_10,000852.XSHG,2020-01-10,2020-01-10 09:40:00,做空_DualThrust,空头,2020-01-10 09:45:00,2020-01-10 14:55:00,5863.33,5850.72,0.002150655003214874,21.51,3,0.1,0.1,5879.21,104.85000000000036,5889.695,5868.725
DualThrust_N3_K10_10,000852.XSHG,2020-01-13,2020-01-13 09:50:00,做空_DualThrust,空头,2020-01-13 09:55:00,2020-01-13 14:55:00,5832.56,5919.95,-0.01498312919198419,-149.83,3,0.1,0.1,5844.96,112.85999999999967,5856.246,5833.674
DualThrust_N3_K10_10,000852.XSHG,2020-01-14,2020-01-14 10:05:00,做空_DualThrust,空头,2020-01-14 10:10:00,2020-01-14 14:55:00,5928.09,5912.41,0.0026450340666218652,26.45,3,0.1,0.1,5939.9,110.98000000000047,5950.998,5928.802
DualThrust_N3_K10_10,000852.XSHG,2020-01-15,2020-01-15 09:50:00,做空_DualThrust,空头,2020-01-15 09:55:00,2020-01-15 14:55:00,5892.55,5908.75,-0.0027492342025099425,-27.49,3,0.1,0.1,5903.76,104.30000000000018,5914.1900000000005,5893.33
DualThrust_N3_K10_10,000852.XSHG,2020-01-16,2020-01-16 09:55:00,做多_DualThrust,多头,2020-01-16 10:00:00,2020-01-16 14:55:00,5928.63,5902.57,-0.004395619224002889,-43.96,3,0.1,0.1,5917.23,104.30000000000018,5927.66,5906.799999999999
DualThrust_N3_K10_10,000852.XSHG,2020-01-17,2020-01-17 09:45:00,做空_DualThrust,空头,2020-01-17 09:50:00,2020-01-17 14:55:00,5906.54,5878.01,0.004830239023184468,48.3,3,0.1,0.1,5913.79,55.0,5919.29,5908.29
DualThrust_N3_K10_10,000852.XSHG,2020-01-20,2020-01-20 09:40:00,做空_DualThrust,空头,2020-01-20 09:45:00,2020-01-20 14:55:00,5870.85,5948.46,-0.013219550831651272,-132.2,3,0.1,0.1,5880.13,54.76000000000022,5885.606,5874.654
DualThrust_N3_K10_10,000852.XSHG,2020-01-21,2020-01-21 09:50:00,做空_DualThrust,空头,2020-01-21 09:55:00,2020-01-21 14:55:00,5940.0,5901.0,0.006565656565656552,65.66,3,0.1,0.1,5952.0,92.72999999999956,5961.273,5942.727
DualThrust_N3_K10_10,000852.XSHG,2020-01-22,2020-01-22 09:35:00,做空_DualThrust,空头,2020-01-22 09:40:00,2020-01-22 14:55:00,5827.14,5917.22,-0.015458698435252938,-154.59,3,0.1,0.1,5867.22,92.72999999999956,5876.493,5857.947
DualThrust_N3_K10_10,000852.XSHG,2020-01-23,2020-01-23 09:45:00,做多_DualThrust,多头,2020-01-23 09:50:00,2020-01-23 14:55:00,5879.64,5703.09,-0.03002734861318046,-300.27,3,0.1,0.1,5852.2,170.1899999999996,5869.219,5835.181
DualThrust_N3_K10_10,000852.XSHG,2020-02-03,2020-02-03 09:55:00,做多_DualThrust,多头,2020-02-03 10:00:00,2020-02-03 14:55:00,5211.7,5199.7,-0.0023025116564652226,-23.03,3,0.1,0.1,5180.59,275.75,5208.165,5153.015
DualThrust_N3_K10_10,000852.XSHG,2020-02-04,2020-02-04 09:35:00,做多_DualThrust,多头,2020-02-04 09:40:00,2020-02-04 14:55:00,5080.2,5211.15,0.025776544230541987,257.77,3,0.1,0.1,4923.19,741.9499999999998,4997.384999999999,4848.995
DualThrust_N3_K10_10,000852.XSHG,2020-02-05,2020-02-05 09:50:00,做多_DualThrust,多头,2020-02-05 09:55:00,2020-02-05 14:55:00,5334.55,5344.24,0.0018164606199209121,18.16,3,0.1,0.1,5242.33,775.8200000000006,5319.912,5164.748
DualThrust_N3_K10_10,000852.XSHG,2020-02-06,2020-02-06 10:00:00,做多_DualThrust,多头,2020-02-06 10:05:00,2020-02-06 14:55:00,5396.79,5507.37,0.02048995791942998,204.9,3,0.1,0.1,5353.19,425.15000000000055,5395.705,5310.674999999999
DualThrust_N3_K10_10,000852.XSHG,2020-02-10,2020-02-10 09:50:00,做多_DualThrust,多头,2020-02-10 09:55:00,2020-02-10 14:55:00,5623.87,5659.76,0.006381726462382664,63.82,3,0.1,0.1,5586.95,341.27000000000044,5621.077,5552.822999999999
DualThrust_N3_K10_10,000852.XSHG,2020-02-11,2020-02-11 09:35:00,做空_DualThrust,空头,2020-02-11 09:40:00,2020-02-11 14:55:00,5617.5,5620.62,-0.0005554072096127793,-5.55,3,0.1,0.1,5656.52,335.35000000000036,5690.055,5622.985000000001
DualThrust_N3_K10_10,000852.XSHG,2020-02-12,2020-02-12 09:35:00,做多_DualThrust,多头,2020-02-12 09:40:00,2020-02-12 14:55:00,5631.64,5751.45,0.02127444225838282,212.74,3,0.1,0.1,5605.93,188.6900000000005,5624.799,5587.061000000001
DualThrust_N3_K10_10,000852.XSHG,2020-02-13,2020-02-13 10:00:00,做空_DualThrust,空头,2020-02-13 10:05:00,2020-02-13 14:55:00,5719.3,5711.7,0.0013288339482104838,13.29,3,0.1,0.1,5758.92,187.21000000000004,5777.641,5740.1990000000005
DualThrust_N3_K10_10,000852.XSHG,2020-02-14,2020-02-14 09:40:00,做多_DualThrust,多头,2020-02-14 09:45:00,2020-02-14 14:55:00,5722.32,5723.07,0.00013106572159538032,1.31,3,0.1,0.1,5696.1,163.3699999999999,5712.437,5679.763000000001
DualThrust_N3_K10_10,000852.XSHG,2020-02-17,2020-02-17 09:35:00,做多_DualThrust,多头,2020-02-17 09:40:00,2020-02-17 14:55:00,5799.24,5929.5,0.02246156392906662,224.62,3,0.1,0.1,5766.55,151.96000000000004,5781.746,5751.354
DualThrust_N3_K10_10,000852.XSHG,2020-02-18,2020-02-18 09:45:00,做多_DualThrust,多头,2020-02-18 09:50:00,2020-02-18 14:55:00,5978.25,6064.44,0.014417262576841061,144.17,3,0.1,0.1,5948.65,258.6899999999996,5974.518999999999,5922.781
DualThrust_N3_K10_10,000852.XSHG,2020-02-19,2020-02-19 13:05:00,做多_DualThrust,多头,2020-02-19 13:10:00,2020-02-19 14:55:00,6099.76,6020.5,-0.012993953860479746,-129.94,3,0.1,0.1,6058.69,394.39999999999964,6098.129999999999,6019.25
DualThrust_N3_K10_10,000852.XSHG,2020-02-20,2020-02-20 09:40:00,做多_DualThrust,多头,2020-02-20 09:45:00,2020-02-20 14:55:00,6065.95,6127.92,0.010216042004962178,102.16,3,0.1,0.1,6032.4,305.6399999999994,6062.964,6001.835999999999
