strategy,symbol,trade_date,signal_dt,signal,direction,entry_dt,exit_dt,entry_price,exit_price,ret,ret_bp,N,K1,K2,day_open,range,buy_line,sell_line
DualThrust_N5_K20_20,000852.XSHG,2020-01-10,2020-01-10 10:55:00,做空_DualThrust,空头,2020-01-10 11:00:00,2020-01-10 14:55:00,5838.18,5850.72,-0.002147929663011361,-21.48,5,0.2,0.2,5879.21,196.4400000000005,5918.4980000000005,5839.922
DualThrust_N5_K20_20,000852.XSHG,2020-01-13,2020-01-13 13:05:00,做多_DualThrust,多头,2020-01-13 13:10:00,2020-01-13 14:55:00,5888.11,5919.95,0.005407507672241296,54.08,5,0.2,0.2,5844.96,193.84000000000015,5883.728,5806.192
DualThrust_N5_K20_20,000852.XSHG,2020-01-15,2020-01-15 10:15:00,做空_DualThrust,空头,2020-01-15 10:20:00,2020-01-15 14:55:00,5865.58,5908.75,-0.007359885978880154,-73.6,5,0.2,0.2,5903.76,175.5699999999997,5938.874,5868.646000000001
DualThrust_N5_K20_20,000852.XSHG,2020-01-17,2020-01-17 11:30:00,做空_DualThrust,空头,2020-01-17 13:05:00,2020-01-17 14:55:00,5890.37,5878.01,0.002098340172179247,20.98,5,0.2,0.2,5913.79,104.30000000000018,5934.65,5892.93
DualThrust_N5_K20_20,000852.XSHG,2020-01-20,2020-01-20 11:15:00,做多_DualThrust,多头,2020-01-20 11:20:00,2020-01-20 14:55:00,5904.13,5948.46,0.007508303509577097,75.08,5,0.2,0.2,5880.13,104.30000000000018,5900.99,5859.27
DualThrust_N5_K20_20,000852.XSHG,2020-01-21,2020-01-21 10:30:00,做空_DualThrust,空头,2020-01-21 10:35:00,2020-01-21 14:55:00,5920.85,5901.0,0.003352559176469705,33.53,5,0.2,0.2,5952.0,95.76000000000022,5971.152,5932.848
DualThrust_N5_K20_20,000852.XSHG,2020-01-22,2020-01-22 09:35:00,做空_DualThrust,空头,2020-01-22 09:40:00,2020-01-22 14:55:00,5827.14,5917.22,-0.015458698435252938,-154.59,5,0.2,0.2,5867.22,95.76000000000022,5886.372,5848.068
DualThrust_N5_K20_20,000852.XSHG,2020-01-23,2020-01-23 09:50:00,做多_DualThrust,多头,2020-01-23 09:55:00,2020-01-23 14:55:00,5888.29,5703.09,-0.031452255238787474,-314.52,5,0.2,0.2,5852.2,170.1899999999996,5886.237999999999,5818.162
DualThrust_N5_K20_20,000852.XSHG,2020-02-04,2020-02-04 09:35:00,做多_DualThrust,多头,2020-02-04 09:40:00,2020-02-04 14:55:00,5080.2,5211.15,0.025776544230541987,257.77,5,0.2,0.2,4923.19,775.6099999999997,5078.312,4768.067999999999
DualThrust_N5_K20_20,000852.XSHG,2020-02-12,2020-02-12 11:30:00,做多_DualThrust,多头,2020-02-12 13:05:00,2020-02-12 14:55:00,5693.61,5751.45,0.010158756922233891,101.59,5,0.2,0.2,5605.93,419.2300000000005,5689.776000000001,5522.084
DualThrust_N5_K20_20,000852.XSHG,2020-02-14,2020-02-14 10:35:00,做多_DualThrust,多头,2020-02-14 10:40:00,2020-02-14 14:55:00,5754.62,5723.07,-0.005482551410866399,-54.83,5,0.2,0.2,5696.1,281.3900000000003,5752.378000000001,5639.822
DualThrust_N5_K20_20,000852.XSHG,2020-02-17,2020-02-17 09:40:00,做多_DualThrust,多头,2020-02-17 09:45:00,2020-02-17 14:55:00,5805.2,5929.5,0.021411837662785205,214.12,5,0.2,0.2,5766.55,187.21000000000004,5803.992,5729.108
