策略/组合,年份,累计收益,最大回撤
RBreaker_S0.3,2020,0.7628,-0.0493
RBreaker_S0.3,2021,0.5566,-0.0563
RBreaker_S0.3,2022,0.2475,-0.1073
RBreaker_S0.3,2023,0.1772,-0.0613
RBreaker_S0.3,2024,0.7451,-0.0582
RBreaker_S0.3,2025,0.2381,-0.0619
RBreaker_S0.3,2026,0.2587,-0.0363
DualThrust_N5K0.2,2020,0.4411,-0.0464
DualThrust_N5K0.2,2021,0.3733,-0.0792
DualThrust_N5K0.2,2022,0.2344,-0.0849
DualThrust_N5K0.2,2023,0.3466,-0.043
DualThrust_N5K0.2,2024,0.6341,-0.0605
DualThrust_N5K0.2,2025,0.1633,-0.1206
DualThrust_N5K0.2,2026,0.1351,-0.0415
ATR_BREAK_N5_T30,2020,0.6255,-0.2002
ATR_BREAK_N5_T30,2021,0.6112,-0.0445
ATR_BREAK_N5_T30,2022,0.4463,-0.1125
ATR_BREAK_N5_T30,2023,0.2404,-0.0523
ATR_BREAK_N5_T30,2024,0.5444,-0.1046
ATR_BREAK_N5_T30,2025,0.1281,-0.0868
ATR_BREAK_N5_T30,2026,0.2733,-0.0296
EqualWeight_3,2020,0.6123,-0.0661
EqualWeight_3,2021,0.5133,-0.0326
EqualWeight_3,2022,0.3111,-0.0705
EqualWeight_3,2023,0.2551,-0.0471
EqualWeight_3,2024,0.6457,-0.0659
EqualWeight_3,2025,0.1808,-0.0624
EqualWeight_3,2026,0.2218,-0.0274
