strategy,symbol,trade_date,signal_dt,signal,direction,entry_dt,exit_dt,entry_price,exit_price,ret,ret_bp,buy_line,sell_line
ATR_BREAK_N5_T30,000905.XSHG,2020-01-02,2020-01-02 10:00:00,做多_ATR突破,多头,2020-01-02 10:05:00,2020-01-02 14:55:00,5338.49,5363.77,0.0047354214393959815,47.35,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-03,2020-01-03 09:35:00,做多_ATR突破,多头,2020-01-03 09:40:00,2020-01-03 14:55:00,5379.97,5377.04,-0.0005446127023013281,-5.45,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-06,2020-01-06 09:40:00,做多_ATR突破,多头,2020-01-06 09:45:00,2020-01-06 14:55:00,5386.76,5432.91,0.008567302051696979,85.67,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-07,2020-01-07 09:35:00,做多_ATR突破,多头,2020-01-07 09:40:00,2020-01-07 14:55:00,5454.32,5494.71,0.00740513941242904,74.05,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-08,2020-01-08 10:30:00,做空_ATR突破,空头,2020-01-08 10:35:00,2020-01-08 14:55:00,5462.72,5427.24,0.006494932927186503,64.95,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-09,2020-01-09 09:35:00,做多_ATR突破,多头,2020-01-09 09:40:00,2020-01-09 14:55:00,5476.36,5493.94,0.003210161494131114,32.1,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-10,2020-01-10 14:35:00,做多_ATR突破,多头,2020-01-10 14:40:00,2020-01-10 14:55:00,5496.89,5478.63,-0.0033218783712244404,-33.22,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-13,2020-01-13 10:30:00,做多_ATR突破,多头,2020-01-13 10:35:00,2020-01-13 14:55:00,5481.72,5556.27,0.013599746065103613,136.0,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-14,2020-01-14 09:35:00,做多_ATR突破,多头,2020-01-14 09:40:00,2020-01-14 14:55:00,5573.17,5540.97,-0.005777681283721803,-57.78,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-15,2020-01-15 10:05:00,做空_ATR突破,空头,2020-01-15 10:10:00,2020-01-15 14:55:00,5507.94,5532.78,-0.00450985304850815,-45.1,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-16,2020-01-16 10:45:00,做空_ATR突破,空头,2020-01-16 10:50:00,2020-01-16 14:55:00,5528.41,5527.45,0.00017364848120893228,1.74,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-17,2020-01-17 11:25:00,做空_ATR突破,空头,2020-01-17 11:30:00,2020-01-17 14:55:00,5518.85,5505.12,0.002487837139983906,24.88,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-20,2020-01-20 11:05:00,做多_ATR突破,多头,2020-01-20 11:10:00,2020-01-20 14:55:00,5541.38,5583.3,0.007564902605488255,75.65,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-21,2020-01-21 10:30:00,做空_ATR突破,空头,2020-01-21 10:35:00,2020-01-21 14:55:00,5537.32,5523.25,0.0025409403827121313,25.41,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-22,2020-01-22 09:35:00,做空_ATR突破,空头,2020-01-22 09:40:00,2020-01-22 14:55:00,5467.6,5573.15,-0.01930463091667267,-193.05,,
ATR_BREAK_N5_T30,000905.XSHG,2020-01-23,2020-01-23 10:45:00,做空_ATR突破,空头,2020-01-23 10:50:00,2020-01-23 14:55:00,5496.82,5380.11,0.021232276116008864,212.32,,
ATR_BREAK_N5_T30,000905.XSHG,2020-02-03,2020-02-03 09:35:00,做空_ATR突破,空头,2020-02-03 09:40:00,2020-02-03 14:55:00,4908.98,4910.57,-0.0003238962065439388,-3.24,,
ATR_BREAK_N5_T30,000905.XSHG,2020-02-04,2020-02-04 09:35:00,做多_ATR突破,多头,2020-02-04 09:40:00,2020-02-04 14:55:00,4891.85,4997.44,0.02158488097549993,215.85,,
ATR_BREAK_N5_T30,000905.XSHG,2020-02-05,2020-02-05 09:35:00,做多_ATR突破,多头,2020-02-05 09:40:00,2020-02-05 14:55:00,5041.72,5122.44,0.01601040914608487,160.1,,
ATR_BREAK_N5_T30,000905.XSHG,2020-02-06,2020-02-06 09:40:00,做多_ATR突破,多头,2020-02-06 09:45:00,2020-02-06 14:55:00,5151.25,5275.96,0.02420965785003637,242.1,,
ATR_BREAK_N5_T30,000905.XSHG,2020-02-07,2020-02-07 09:40:00,做多_ATR突破,多头,2020-02-07 09:45:00,2020-02-07 14:55:00,5302.9,5325.3,0.004224103792264788,42.24,,
ATR_BREAK_N5_T30,000905.XSHG,2020-02-10,2020-02-10 11:25:00,做空_ATR突破,空头,2020-02-10 11:30:00,2020-02-10 14:55:00,5324.09,5386.45,-0.011712799746059765,-117.13,,
ATR_BREAK_N5_T30,000905.XSHG,2020-02-11,2020-02-11 09:35:00,做空_ATR突破,空头,2020-02-11 09:40:00,2020-02-11 14:55:00,5353.09,5359.89,-0.001270294353354906,-12.7,,
ATR_BREAK_N5_T30,000905.XSHG,2020-02-12,2020-02-12 09:40:00,做多_ATR突破,多头,2020-02-12 09:45:00,2020-02-12 14:55:00,5376.12,5457.4,0.015118710147838943,151.19,,
ATR_BREAK_N5_T30,000905.XSHG,2020-02-13,2020-02-13 10:00:00,做空_ATR突破,空头,2020-02-13 10:05:00,2020-02-13 14:55:00,5421.42,5414.34,0.001305930918467868,13.06,,
ATR_BREAK_N5_T30,000905.XSHG,2020-02-14,2020-02-14 10:50:00,做多_ATR突破,多头,2020-02-14 10:55:00,2020-02-14 14:55:00,5462.61,5416.86,-0.008375117388940478,-83.75,,
ATR_BREAK_N5_T30,000905.XSHG,2020-02-17,2020-02-17 09:35:00,做多_ATR突破,多头,2020-02-17 09:40:00,2020-02-17 14:55:00,5480.5,5589.28,0.019848553964054272,198.49,,
ATR_BREAK_N5_T30,000905.XSHG,2020-02-18,2020-02-18 09:35:00,做多_ATR突破,多头,2020-02-18 09:40:00,2020-02-18 14:55:00,5620.37,5656.16,0.006367908162629776,63.68,,
