strategy,symbol,trade_date,signal_dt,signal,direction,entry_dt,exit_dt,entry_price,exit_price,ret,ret_bp,buy_line,sell_line
DualThrust_N5K0.2,000905.XSHG,2020-01-10,2020-01-10 10:05:00,做空_趋势,空头,2020-01-10 10:10:00,2020-01-10 14:55:00,5481.34,5478.63,0.0004944046528768675,4.94,5541.278,5482.062
DualThrust_N5K0.2,000905.XSHG,2020-01-13,2020-01-13 11:05:00,做多_趋势,多头,2020-01-13 11:10:00,2020-01-13 14:55:00,5514.09,5556.27,0.007649494295522974,76.49,5507.284,5449.356
DualThrust_N5K0.2,000905.XSHG,2020-01-14,2020-01-14 14:45:00,做空_趋势,空头,2020-01-14 14:50:00,2020-01-14 14:55:00,5546.31,5540.97,0.0009628022955803228,9.63,5606.642,5546.618
DualThrust_N5K0.2,000905.XSHG,2020-01-15,2020-01-15 10:15:00,做空_趋势,空头,2020-01-15 10:20:00,2020-01-15 14:55:00,5496.29,5532.78,-0.0066390237778573,-66.39,5564.944,5500.976
DualThrust_N5K0.2,000905.XSHG,2020-01-17,2020-01-17 11:30:00,做空_趋势,空头,2020-01-17 13:05:00,2020-01-17 14:55:00,5514.14,5505.12,0.0016357945209951597,16.36,5562.1,5517.34
DualThrust_N5K0.2,000905.XSHG,2020-01-20,2020-01-20 11:15:00,做多_趋势,多头,2020-01-20 11:20:00,2020-01-20 14:55:00,5547.11,5583.3,0.006524117964129106,65.24,5545.39,5500.63
DualThrust_N5K0.2,000905.XSHG,2020-01-21,2020-01-21 10:15:00,做空_趋势,空头,2020-01-21 10:20:00,2020-01-21 14:55:00,5559.41,5523.25,0.006504287325453606,65.04,5599.988,5562.032
DualThrust_N5K0.2,000905.XSHG,2020-01-22,2020-01-22 09:35:00,做空_趋势,空头,2020-01-22 09:40:00,2020-01-22 14:55:00,5467.6,5573.15,-0.01930463091667267,-193.05,5521.568,5483.612
DualThrust_N5K0.2,000905.XSHG,2020-01-23,2020-01-23 10:05:00,做多_趋势,多头,2020-01-23 10:10:00,2020-01-23 14:55:00,5552.6,5380.11,-0.03106472643446323,-310.65,5551.258,5492.322
DualThrust_N5K0.2,000905.XSHG,2020-02-03,2020-02-03 10:00:00,做多_趋势,多头,2020-02-03 10:05:00,2020-02-03 14:55:00,4952.32,4910.57,-0.008430392220211913,-84.3,4949.012000000001,4844.768
DualThrust_N5K0.2,000905.XSHG,2020-02-04,2020-02-04 09:35:00,做多_趋势,多头,2020-02-04 09:40:00,2020-02-04 14:55:00,4891.85,4997.44,0.02158488097549993,215.85,4874.25,4597.99
DualThrust_N5K0.2,000905.XSHG,2020-02-06,2020-02-06 14:05:00,做多_趋势,多头,2020-02-06 14:10:00,2020-02-06 14:55:00,5297.99,5275.96,-0.00415818074401797,-41.58,5296.067999999999,4960.312
DualThrust_N5K0.2,000905.XSHG,2020-02-12,2020-02-12 13:05:00,做多_趋势,多头,2020-02-12 13:10:00,2020-02-12 14:55:00,5424.97,5457.4,0.005977913241916433,59.78,5417.924000000001,5273.116
DualThrust_N5K0.2,000905.XSHG,2020-02-14,2020-02-14 10:50:00,做多_趋势,多头,2020-02-14 10:55:00,2020-02-14 14:55:00,5462.61,5416.86,-0.008375117388940478,-83.75,5454.12,5360.820000000001
DualThrust_N5K0.2,000905.XSHG,2020-02-17,2020-02-17 09:40:00,做多_趋势,多头,2020-02-17 09:45:00,2020-02-17 14:55:00,5488.59,5589.28,0.018345330950207517,183.45,5486.168,5422.752
DualThrust_N5K0.2,000905.XSHG,2020-02-20,2020-02-20 13:20:00,做多_趋势,多头,2020-02-20 13:25:00,2020-02-20 14:55:00,5678.22,5702.94,0.004353476969895409,43.53,5676.496,5562.544000000001
DualThrust_N5K0.2,000905.XSHG,2020-02-21,2020-02-21 11:15:00,做多_趋势,多头,2020-02-21 11:20:00,2020-02-21 14:55:00,5772.48,5780.72,0.0014274627196630973,14.27,5770.996,5638.684
DualThrust_N5K0.2,000905.XSHG,2020-02-24,2020-02-24 13:20:00,做多_趋势,多头,2020-02-24 13:25:00,2020-02-24 14:55:00,5855.55,5861.48,0.0010127144333151872,10.13,5850.494,5718.666
DualThrust_N5K0.2,000905.XSHG,2020-02-25,2020-02-25 09:35:00,做多_趋势,多头,2020-02-25 09:40:00,2020-02-25 14:55:00,5807.29,5893.36,0.014821026675092774,148.21,5803.134,5688.106
