strategy,symbol,trade_date,signal_dt,signal,direction,entry_dt,exit_dt,entry_price,exit_price,ret,ret_bp,buy_line,sell_line
RBreaker_S0.3,000905.XSHG,2020-01-06,2020-01-06 09:45:00,做多_趋势,多头,2020-01-06 09:50:00,2020-01-06 14:55:00,5399.38,5432.91,0.006209972256073781,62.1,5388.692000000001,5349.578
RBreaker_S0.3,000905.XSHG,2020-01-08,2020-01-08 13:20:00,做空_趋势,空头,2020-01-08 13:25:00,2020-01-08 14:55:00,5455.78,5427.24,0.005231149349863795,52.31,5510.998,5457.762999999999
RBreaker_S0.3,000905.XSHG,2020-01-10,2020-01-10 10:05:00,做空_趋势,空头,2020-01-10 10:10:00,2020-01-10 14:55:00,5481.34,5478.63,0.0004944046528768675,4.94,5523.5070000000005,5487.336
RBreaker_S0.3,000905.XSHG,2020-01-13,2020-01-13 10:05:00,做空_趋势,空头,2020-01-13 10:10:00,2020-01-13 14:55:00,5452.12,5556.27,-0.019102660983250752,-191.03,5506.815,5452.058999999999
RBreaker_S0.3,000905.XSHG,2020-01-15,2020-01-15 10:05:00,做空_趋势,空头,2020-01-15 10:10:00,2020-01-15 14:55:00,5507.94,5532.78,-0.00450985304850815,-45.1,5557.438,5517.999999999999
RBreaker_S0.3,000905.XSHG,2020-01-17,2020-01-17 11:30:00,做空_趋势,空头,2020-01-17 13:05:00,2020-01-17 14:55:00,5514.14,5505.12,0.0016357945209951597,16.36,5556.972000000001,5517.075
RBreaker_S0.3,000905.XSHG,2020-01-20,2020-01-20 11:15:00,做多_趋势,多头,2020-01-20 11:20:00,2020-01-20 14:55:00,5547.11,5583.3,0.006524117964129106,65.24,5546.034,5495.688
RBreaker_S0.3,000905.XSHG,2020-01-21,2020-01-21 10:30:00,做空_趋势,空头,2020-01-21 10:35:00,2020-01-21 14:55:00,5537.32,5523.25,0.0025409403827121313,25.41,5617.749,5539.494
RBreaker_S0.3,000905.XSHG,2020-01-22,2020-01-22 09:35:00,做空_趋势,空头,2020-01-22 09:40:00,2020-01-22 14:55:00,5467.6,5573.15,-0.01930463091667267,-193.05,5541.514999999999,5481.4039999999995
RBreaker_S0.3,000905.XSHG,2020-01-23,2020-01-23 13:05:00,做空_趋势,空头,2020-01-23 13:10:00,2020-01-23 14:55:00,5442.41,5380.11,0.011447134633370215,114.47,5603.27,5461.259
RBreaker_S0.3,000905.XSHG,2020-02-03,2020-02-03 09:35:00,做空_趋势,空头,2020-02-03 09:40:00,2020-02-03 14:55:00,4908.98,4910.57,-0.0003238962065439388,-3.24,5151.814,4943.464
RBreaker_S0.3,000905.XSHG,2020-02-04,2020-02-04 09:35:00,做多_趋势,多头,2020-02-04 09:40:00,2020-02-04 14:55:00,4891.85,4997.44,0.02158488097549993,215.85,4819.0830000000005,4761.609
RBreaker_S0.3,000905.XSHG,2020-02-05,2020-02-05 10:20:00,做多_趋势,多头,2020-02-05 10:25:00,2020-02-05 14:55:00,5138.6,5122.44,-0.0031448254388356522,-31.45,5136.518,4886.633
RBreaker_S0.3,000905.XSHG,2020-02-06,2020-02-06 10:40:00,做多_趋势,多头,2020-02-06 10:45:00,2020-02-06 14:55:00,5203.61,5275.96,0.013903809086384333,139.04,5193.1810000000005,5056.354
RBreaker_S0.3,000905.XSHG,2020-02-10,2020-02-10 10:20:00,做多_趋势,多头,2020-02-10 10:25:00,2020-02-10 14:55:00,5368.09,5386.45,0.0034202109130061498,34.2,5364.815,5272.421
RBreaker_S0.3,000905.XSHG,2020-02-11,2020-02-11 10:00:00,做空_趋势,空头,2020-02-11 10:05:00,2020-02-11 14:55:00,5346.52,5359.89,-0.0025006920389336607,-25.01,5425.013000000001,5346.146
RBreaker_S0.3,000905.XSHG,2020-02-12,2020-02-12 09:45:00,做多_趋势,多头,2020-02-12 09:50:00,2020-02-12 14:55:00,5383.92,5457.4,0.013648048262232537,136.48,5383.0960000000005,5317.216
RBreaker_S0.3,000905.XSHG,2020-02-14,2020-02-14 10:45:00,做多_趋势,多头,2020-02-14 10:50:00,2020-02-14 14:55:00,5454.06,5416.86,-0.006820607034026205,-68.21,5450.305,5373.2919999999995
RBreaker_S0.3,000905.XSHG,2020-02-17,2020-02-17 09:40:00,做多_趋势,多头,2020-02-17 09:45:00,2020-02-17 14:55:00,5488.59,5589.28,0.018345330950207517,183.45,5489.145,5400.459
RBreaker_S0.3,000905.XSHG,2020-02-19,2020-02-19 14:20:00,做空_趋势,空头,2020-02-19 14:25:00,2020-02-19 14:55:00,5602.05,5605.07,-0.0005390883694360582,-5.39,5689.3330000000005,5614.714
RBreaker_S0.3,000905.XSHG,2020-02-20,2020-02-20 13:05:00,做多_趋势,多头,2020-02-20 13:10:00,2020-02-20 14:55:00,5663.35,5702.94,0.006990562123124766,69.91,5653.17,5583.483000000001
RBreaker_S0.3,000905.XSHG,2020-02-21,2020-02-21 10:50:00,做多_趋势,多头,2020-02-21 10:55:00,2020-02-21 14:55:00,5764.24,5780.72,0.002859006564612132,28.59,5758.792,5639.893
RBreaker_S0.3,000905.XSHG,2020-02-24,2020-02-24 13:05:00,做多_趋势,多头,2020-02-24 13:10:00,2020-02-24 14:55:00,5841.47,5861.48,0.0034255076205131907,34.26,5836.832,5727.527
RBreaker_S0.3,000905.XSHG,2020-02-25,2020-02-25 09:45:00,做多_趋势,多头,2020-02-25 09:50:00,2020-02-25 14:55:00,5835.48,5893.36,0.009918635656364083,99.19,5835.226000000001,5718.7119999999995
RBreaker_S0.3,000905.XSHG,2020-02-28,2020-02-28 10:30:00,做空_趋势,空头,2020-02-28 10:35:00,2020-02-28 14:55:00,5537.13,5444.98,0.016642195505613966,166.42,5680.344,5554.794000000001
RBreaker_S0.3,000905.XSHG,2020-03-02,2020-03-02 10:50:00,做多_趋势,多头,2020-03-02 10:55:00,2020-03-02 14:55:00,5604.0,5651.66,0.008504639543183368,85.05,5597.111,5414.483
RBreaker_S0.3,000905.XSHG,2020-03-03,2020-03-03 10:10:00,做多_趋势,多头,2020-03-03 10:15:00,2020-03-03 14:55:00,5804.56,5705.0,-0.01715203219537753,-171.52,5800.548999999999,5640.376
RBreaker_S0.3,000905.XSHG,2020-03-06,2020-03-06 10:00:00,做多_趋势,多头,2020-03-06 10:05:00,2020-03-06 14:55:00,5789.94,5766.74,-0.004006949985664754,-40.07,5788.931,5717.795
RBreaker_S0.3,000905.XSHG,2020-03-09,2020-03-09 09:45:00,做空_趋势,空头,2020-03-09 09:50:00,2020-03-09 14:55:00,5626.33,5528.13,0.01745365095897322,174.54,5732.643,5661.633
RBreaker_S0.3,000905.XSHG,2020-03-10,2020-03-10 11:30:00,做多_趋势,多头,2020-03-10 13:05:00,2020-03-10 14:55:00,5572.17,5671.04,0.017743536180697905,177.44,5566.214999999999,5409.525
RBreaker_S0.3,000905.XSHG,2020-03-12,2020-03-12 10:20:00,做空_趋势,空头,2020-03-12 10:25:00,2020-03-12 14:55:00,5480.68,5491.25,-0.001928592802352913,-19.29,5591.678,5484.227
RBreaker_S0.3,000905.XSHG,2020-03-13,2020-03-13 09:35:00,做空_趋势,空头,2020-03-13 09:40:00,2020-03-13 14:55:00,5251.61,5453.88,-0.038515807533308966,-385.16,5352.592000000001,5260.288
RBreaker_S0.3,000905.XSHG,2020-03-16,2020-03-16 13:25:00,做空_趋势,空头,2020-03-16 13:30:00,2020-03-16 14:55:00,5337.04,5208.11,0.02415758547809277,241.58,5603.066000000001,5348.672
RBreaker_S0.3,000905.XSHG,2020-03-17,2020-03-17 10:15:00,做空_趋势,空头,2020-03-17 10:20:00,2020-03-17 14:55:00,5103.09,5207.48,-0.020456233380167665,-204.56,5386.995,5104.8
RBreaker_S0.3,000905.XSHG,2020-03-19,2020-03-19 11:05:00,做空_趋势,空头,2020-03-19 11:10:00,2020-03-19 14:55:00,5023.33,5154.78,-0.026167900575912784,-261.68,5226.624,5034.339
RBreaker_S0.3,000905.XSHG,2020-03-23,2020-03-23 10:10:00,做空_趋势,空头,2020-03-23 10:15:00,2020-03-23 14:55:00,5060.71,4995.04,0.012976440064733974,129.76,5160.2880000000005,5073.924
RBreaker_S0.3,000905.XSHG,2020-03-24,2020-03-24 13:35:00,做空_趋势,空头,2020-03-24 13:40:00,2020-03-24 14:55:00,4982.55,5093.88,-0.02234398049191677,-223.44,5134.089,5001.365999999999
RBreaker_S0.3,000905.XSHG,2020-03-26,2020-03-26 10:45:00,做多_趋势,多头,2020-03-26 10:50:00,2020-03-26 14:55:00,5221.38,5168.09,-0.010206114092442986,-102.06,5220.267,5158.32
RBreaker_S0.3,000905.XSHG,2020-03-27,2020-03-27 10:15:00,做空_趋势,空头,2020-03-27 10:20:00,2020-03-27 14:55:00,5173.0,5137.46,0.006870288034022787,68.7,5240.092000000001,5176.804
RBreaker_S0.3,000905.XSHG,2020-03-30,2020-03-30 09:35:00,做空_趋势,空头,2020-03-30 09:40:00,2020-03-30 14:55:00,5035.41,5023.93,0.0022798540734517703,22.8,5139.156999999999,5055.187
RBreaker_S0.3,000905.XSHG,2020-04-01,2020-04-01 09:50:00,做多_趋势,多头,2020-04-01 09:55:00,2020-04-01 14:55:00,5066.82,5012.58,-0.010704939192629603,-107.05,5062.053,5008.053
RBreaker_S0.3,000905.XSHG,2020-04-02,2020-04-02 10:55:00,做多_趋势,多头,2020-04-02 11:00:00,2020-04-02 14:55:00,5058.62,5139.36,0.015960874704959105,159.61,5053.8910000000005,4963.468
RBreaker_S0.3,000905.XSHG,2020-04-07,2020-04-07 09:50:00,做多_趋势,多头,2020-04-07 09:55:00,2020-04-07 14:55:00,5227.73,5263.01,0.006748627033148269,67.49,5209.942,5141.110000000001
RBreaker_S0.3,000905.XSHG,2020-04-08,2020-04-08 13:45:00,做多_趋势,多头,2020-04-08 13:50:00,2020-04-08 14:55:00,5283.39,5268.98,-0.0027274155419154678,-27.27,5281.139,5213.179999999999
RBreaker_S0.3,000905.XSHG,2020-04-09,2020-04-09 10:35:00,做多_趋势,多头,2020-04-09 10:40:00,2020-04-09 14:55:00,5318.44,5321.68,0.0006092011943352738,6.09,5317.906,5264.995
RBreaker_S0.3,000905.XSHG,2020-04-10,2020-04-10 09:40:00,做空_趋势,空头,2020-04-10 09:45:00,2020-04-10 14:55:00,5297.12,5210.09,0.016429682544476965,164.3,5342.053,5299.987
RBreaker_S0.3,000905.XSHG,2020-04-14,2020-04-14 10:10:00,做多_趋势,多头,2020-04-14 10:15:00,2020-04-14 14:55:00,5218.42,5283.1,0.012394556206668073,123.95,5214.7,5162.932
RBreaker_S0.3,000905.XSHG,2020-04-16,2020-04-16 10:20:00,做多_趋势,多头,2020-04-16 10:25:00,2020-04-16 14:55:00,5282.5,5315.09,0.0061694273544723455,61.69,5280.58,5229.667
RBreaker_S0.3,000905.XSHG,2020-04-20,2020-04-20 11:20:00,做多_趋势,多头,2020-04-20 11:25:00,2020-04-20 14:55:00,5387.64,5378.74,-0.0016519292306094169,-16.52,5383.554999999999,5322.742
RBreaker_S0.3,000905.XSHG,2020-04-21,2020-04-21 10:40:00,做空_趋势,空头,2020-04-21 10:45:00,2020-04-21 14:55:00,5325.71,5342.34,-0.003122588349722344,-31.23,5393.793,5330.262
RBreaker_S0.3,000905.XSHG,2020-04-22,2020-04-22 10:25:00,做多_趋势,多头,2020-04-22 10:30:00,2020-04-22 14:55:00,5346.53,5385.32,0.007255172981354363,72.55,5346.322999999999,5282.476999999999
RBreaker_S0.3,000905.XSHG,2020-04-24,2020-04-24 10:05:00,做空_趋势,空头,2020-04-24 10:10:00,2020-04-24 14:55:00,5328.32,5273.79,0.010233994955257897,102.34,5378.705,5331.41
