strategy,symbol,trade_date,signal_dt,signal,direction,entry_dt,exit_dt,entry_price,exit_price,ret,ret_bp,buy_line,sell_line
ATR_BREAK_N5_T30,399006.XSHE,2020-01-02,2020-01-02 10:00:00,做多_ATR突破,多头,2020-01-02 10:05:00,2020-01-02 14:55:00,1820.09,1832.22,0.00666450560137144,66.65,,
ATR_BREAK_N5_T30,399006.XSHE,2020-01-03,2020-01-03 10:25:00,做多_ATR突破,多头,2020-01-03 10:30:00,2020-01-03 14:55:00,1839.9,1834.75,-0.002799065166585235,-27.99,,
ATR_BREAK_N5_T30,399006.XSHE,2020-01-06,2020-01-06 09:40:00,做多_ATR突破,多头,2020-01-06 09:45:00,2020-01-06 14:55:00,1838.49,1859.46,0.011406099570843375,114.06,,
ATR_BREAK_N5_T30,399006.XSHE,2020-01-07,2020-01-07 09:35:00,做多_ATR突破,多头,2020-01-07 09:40:00,2020-01-07 14:55:00,1869.72,1891.62,0.011712983762274476,117.13,,
ATR_BREAK_N5_T30,399006.XSHE,2020-01-08,2020-01-08 10:30:00,做空_ATR突破,空头,2020-01-08 10:35:00,2020-01-08 14:55:00,1876.98,1863.91,0.0069633134077080605,69.63,,
ATR_BREAK_N5_T30,399006.XSHE,2020-01-09,2020-01-09 09:35:00,做多_ATR突破,多头,2020-01-09 09:40:00,2020-01-09 14:55:00,1892.55,1911.99,0.010271855433145793,102.72,,
ATR_BREAK_N5_T30,399006.XSHE,2020-01-10,2020-01-10 10:55:00,做空_ATR突破,空头,2020-01-10 11:00:00,2020-01-10 14:55:00,1901.0,1904.01,-0.001583377169910527,-15.83,,
ATR_BREAK_N5_T30,399006.XSHE,2020-01-13,2020-01-13 10:25:00,做多_ATR突破,多头,2020-01-13 10:30:00,2020-01-13 14:55:00,1906.92,1933.58,0.013980659912319338,139.81,,
ATR_BREAK_N5_T30,399006.XSHE,2020-01-14,2020-01-14 09:35:00,做多_ATR突破,多头,2020-01-14 09:40:00,2020-01-14 14:55:00,1941.23,1922.25,-0.009777306140951847,-97.77,,
ATR_BREAK_N5_T30,399006.XSHE,2020-01-15,2020-01-15 09:35:00,做空_ATR突破,空头,2020-01-15 09:40:00,2020-01-15 14:55:00,1921.55,1922.13,-0.0003018396606906393,-3.02,,
ATR_BREAK_N5_T30,399006.XSHE,2020-01-17,2020-01-17 09:35:00,做多_ATR突破,多头,2020-01-17 09:40:00,2020-01-17 14:55:00,1940.17,1932.11,-0.004154275140838215,-41.54,,
ATR_BREAK_N5_T30,399006.XSHE,2020-01-20,2020-01-20 11:00:00,做多_ATR突破,多头,2020-01-20 11:05:00,2020-01-20 14:55:00,1957.52,1979.38,0.011167191139809685,111.67,,
ATR_BREAK_N5_T30,399006.XSHE,2020-01-21,2020-01-21 10:45:00,做空_ATR突破,空头,2020-01-21 10:50:00,2020-01-21 14:55:00,1961.09,1965.64,-0.002320138290440532,-23.2,,
ATR_BREAK_N5_T30,399006.XSHE,2020-01-22,2020-01-22 09:35:00,做空_ATR突破,空头,2020-01-22 09:40:00,2020-01-22 14:55:00,1944.87,1993.56,-0.025035092319795282,-250.35,,
ATR_BREAK_N5_T30,399006.XSHE,2020-01-23,2020-01-23 10:45:00,做空_ATR突破,空头,2020-01-23 10:50:00,2020-01-23 14:55:00,1972.34,1928.93,0.022009389861788464,220.09,,
ATR_BREAK_N5_T30,399006.XSHE,2020-02-03,2020-02-03 09:35:00,做空_ATR突破,空头,2020-02-03 09:40:00,2020-02-03 14:55:00,1785.01,1794.47,-0.0052996901978139555,-53.0,,
ATR_BREAK_N5_T30,399006.XSHE,2020-02-04,2020-02-04 09:35:00,做多_ATR突破,多头,2020-02-04 09:40:00,2020-02-04 14:55:00,1812.12,1882.16,0.03865086197382084,386.51,,
ATR_BREAK_N5_T30,399006.XSHE,2020-02-05,2020-02-05 09:35:00,做多_ATR突破,多头,2020-02-05 09:40:00,2020-02-05 14:55:00,1910.23,1939.26,0.015197122859550882,151.97,,
ATR_BREAK_N5_T30,399006.XSHE,2020-02-06,2020-02-06 10:10:00,做多_ATR突破,多头,2020-02-06 10:15:00,2020-02-06 14:55:00,1951.86,2007.68,0.02859836258748083,285.98,,
ATR_BREAK_N5_T30,399006.XSHE,2020-02-07,2020-02-07 10:25:00,做多_ATR突破,多头,2020-02-07 10:30:00,2020-02-07 14:55:00,2023.34,2014.8,-0.004220743918471381,-42.21,,
ATR_BREAK_N5_T30,399006.XSHE,2020-02-10,2020-02-10 09:35:00,做多_ATR突破,多头,2020-02-10 09:40:00,2020-02-10 14:55:00,2029.01,2042.02,0.006411994026643608,64.12,,
ATR_BREAK_N5_T30,399006.XSHE,2020-02-11,2020-02-11 09:35:00,做空_ATR突破,空头,2020-02-11 09:40:00,2020-02-11 14:55:00,2025.08,2027.75,-0.0013184664309557892,-13.18,,
ATR_BREAK_N5_T30,399006.XSHE,2020-02-12,2020-02-12 09:40:00,做多_ATR突破,多头,2020-02-12 09:45:00,2020-02-12 14:55:00,2044.93,2084.88,0.019536121040818033,195.36,,
ATR_BREAK_N5_T30,399006.XSHE,2020-02-13,2020-02-13 10:00:00,做空_ATR突破,空头,2020-02-13 10:05:00,2020-02-13 14:55:00,2061.85,2064.51,-0.0012901035477848044,-12.9,,
