strategy,symbol,trade_date,signal_dt,signal,direction,entry_dt,exit_dt,entry_price,exit_price,ret,ret_bp,buy_line,sell_line
DualThrust_N5K0.2,399006.XSHE,2020-01-09,2020-01-09 10:30:00,做多_趋势,多头,2020-01-09 10:35:00,2020-01-09 14:55:00,1903.81,1911.99,0.004296647249462993,42.97,1903.554,1865.286
DualThrust_N5K0.2,399006.XSHE,2020-01-10,2020-01-10 13:25:00,做空_趋势,空头,2020-01-10 13:30:00,2020-01-10 14:55:00,1896.14,1904.01,-0.0041505374075754276,-41.51,1935.904,1899.3159999999998
DualThrust_N5K0.2,399006.XSHE,2020-01-13,2020-01-13 13:10:00,做多_趋势,多头,2020-01-13 13:15:00,2020-01-13 14:55:00,1924.1,1933.58,0.004926978847253238,49.27,1923.1580000000001,1887.642
DualThrust_N5K0.2,399006.XSHE,2020-01-17,2020-01-17 10:40:00,做多_趋势,多头,2020-01-17 10:45:00,2020-01-17 14:55:00,1947.09,1932.11,-0.00769353239963233,-76.94,1943.616,1926.984
DualThrust_N5K0.2,399006.XSHE,2020-01-20,2020-01-20 10:20:00,做多_趋势,多头,2020-01-20 10:25:00,2020-01-20 14:55:00,1948.46,1979.38,0.01586894265214589,158.69,1948.4199999999998,1931.82
DualThrust_N5K0.2,399006.XSHE,2020-01-21,2020-01-21 10:45:00,做空_趋势,空头,2020-01-21 10:50:00,2020-01-21 14:55:00,1961.09,1965.64,-0.002320138290440532,-23.2,1995.2839999999999,1963.456
DualThrust_N5K0.2,399006.XSHE,2020-01-22,2020-01-22 09:45:00,做空_趋势,空头,2020-01-22 09:50:00,2020-01-22 14:55:00,1930.95,1993.56,-0.03242445428416052,-324.24,1973.994,1942.166
DualThrust_N5K0.2,399006.XSHE,2020-01-23,2020-01-23 10:00:00,做多_趋势,多头,2020-01-23 10:05:00,2020-01-23 14:55:00,1990.47,1928.93,-0.03091732103473044,-309.17,1988.598,1958.062
DualThrust_N5K0.2,399006.XSHE,2020-02-03,2020-02-03 09:45:00,做多_趋势,多头,2020-02-03 09:50:00,2020-02-03 14:55:00,1798.34,1794.47,-0.0021519846080273464,-21.52,1787.084,1751.236
DualThrust_N5K0.2,399006.XSHE,2020-02-04,2020-02-04 09:50:00,做多_趋势,多头,2020-02-04 09:55:00,2020-02-04 14:55:00,1834.79,1882.16,0.025817668507022606,258.18,1831.1080000000002,1741.212
