strategy,symbol,trade_date,signal_dt,signal,direction,entry_dt,exit_dt,entry_price,exit_price,ret,ret_bp,buy_line,sell_line
RBreaker_S0.3,399006.XSHE,2020-01-06,2020-01-06 09:40:00,做多_趋势,多头,2020-01-06 09:45:00,2020-01-06 14:55:00,1838.49,1859.46,0.011406099570843375,114.06,1837.6989999999998,1818.898
RBreaker_S0.3,399006.XSHE,2020-01-07,2020-01-07 13:55:00,做多_趋势,多头,2020-01-07 14:00:00,2020-01-07 14:55:00,1888.26,1891.62,0.0017794159702582135,17.79,1886.8559999999998,1839.9569999999999
RBreaker_S0.3,399006.XSHE,2020-01-08,2020-01-08 13:40:00,做空_趋势,空头,2020-01-08 13:45:00,2020-01-08 14:55:00,1869.02,1863.91,0.002734053140148296,27.34,1895.4500000000003,1871.195
RBreaker_S0.3,399006.XSHE,2020-01-09,2020-01-09 09:55:00,做多_趋势,多头,2020-01-09 10:00:00,2020-01-09 14:55:00,1896.9,1911.99,0.007955084611734886,79.55,1894.6119999999999,1863.742
RBreaker_S0.3,399006.XSHE,2020-01-10,2020-01-10 10:55:00,做空_趋势,空头,2020-01-10 11:00:00,2020-01-10 14:55:00,1901.0,1904.01,-0.001583377169910527,-15.83,1928.077,1901.653
RBreaker_S0.3,399006.XSHE,2020-01-13,2020-01-13 11:00:00,做多_趋势,多头,2020-01-13 11:05:00,2020-01-13 14:55:00,1917.56,1933.58,0.008354367008072794,83.54,1915.6650000000002,1894.8210000000001
RBreaker_S0.3,399006.XSHE,2020-01-15,2020-01-15 10:15:00,做空_趋势,空头,2020-01-15 10:20:00,2020-01-15 14:55:00,1904.22,1922.13,-0.00940542584365267,-94.05,1933.007,1911.7310000000002
RBreaker_S0.3,399006.XSHE,2020-01-17,2020-01-17 10:35:00,做多_趋势,多头,2020-01-17 10:40:00,2020-01-17 14:55:00,1942.84,1932.11,-0.005522842848613374,-55.23,1941.6929999999998,1925.0699999999997
RBreaker_S0.3,399006.XSHE,2020-01-20,2020-01-20 10:20:00,做多_趋势,多头,2020-01-20 10:25:00,2020-01-20 14:55:00,1948.46,1979.38,0.01586894265214589,158.69,1947.7659999999998,1929.1449999999998
RBreaker_S0.3,399006.XSHE,2020-01-22,2020-01-22 09:35:00,做空_趋势,空头,2020-01-22 09:40:00,2020-01-22 14:55:00,1944.87,1993.56,-0.025035092319795282,-250.35,1974.116,1948.718
RBreaker_S0.3,399006.XSHE,2020-01-23,2020-01-23 13:10:00,做空_趋势,空头,2020-01-23 13:15:00,2020-01-23 14:55:00,1937.64,1928.93,0.004495159059474396,44.95,2011.0939999999998,1942.37
RBreaker_S0.3,399006.XSHE,2020-02-04,2020-02-04 09:40:00,做多_趋势,多头,2020-02-04 09:45:00,2020-02-04 14:55:00,1825.16,1882.16,0.031230138727563528,312.3,1817.2069999999999,1761.722
RBreaker_S0.3,399006.XSHE,2020-02-05,2020-02-05 10:00:00,做多_趋势,多头,2020-02-05 10:05:00,2020-02-05 14:55:00,1946.84,1939.26,-0.003893488935916678,-38.93,1941.753,1851.177
RBreaker_S0.3,399006.XSHE,2020-02-06,2020-02-06 10:40:00,做多_趋势,多头,2020-02-06 10:45:00,2020-02-06 14:55:00,1968.21,2007.68,0.02005375442661106,200.54,1964.8200000000002,1906.806
RBreaker_S0.3,399006.XSHE,2020-02-10,2020-02-10 09:50:00,做多_趋势,多头,2020-02-10 09:55:00,2020-02-10 14:55:00,2039.51,2042.02,0.0012306877632373148,12.31,2038.621,1994.944
RBreaker_S0.3,399006.XSHE,2020-02-11,2020-02-11 09:35:00,做空_趋势,空头,2020-02-11 09:40:00,2020-02-11 14:55:00,2025.08,2027.75,-0.0013184664309557892,-13.18,2058.3379999999997,2025.533
RBreaker_S0.3,399006.XSHE,2020-02-12,2020-02-12 09:40:00,做多_趋势,多头,2020-02-12 09:45:00,2020-02-12 14:55:00,2044.93,2084.88,0.019536121040818033,195.36,2039.8550000000002,2011.9100000000003
RBreaker_S0.3,399006.XSHE,2020-02-14,2020-02-14 10:20:00,做多_趋势,多头,2020-02-14 10:25:00,2020-02-14 14:55:00,2086.8,2068.17,-0.008927544565842438,-89.28,2082.894,2046.174
RBreaker_S0.3,399006.XSHE,2020-02-17,2020-02-17 09:40:00,做多_趋势,多头,2020-02-17 09:45:00,2020-02-17 14:55:00,2109.75,2143.62,0.016054034838250963,160.54,2108.592,2059.317
RBreaker_S0.3,399006.XSHE,2020-02-19,2020-02-19 10:05:00,做空_趋势,空头,2020-02-19 10:10:00,2020-02-19 14:55:00,2149.51,2139.04,0.0048708775488368605,48.71,2184.124,2151.175
RBreaker_S0.3,399006.XSHE,2020-02-20,2020-02-20 09:45:00,做多_趋势,多头,2020-02-20 09:50:00,2020-02-20 14:55:00,2166.1,2184.61,0.008545311850791881,85.45,2164.893,2133.8070000000002
RBreaker_S0.3,399006.XSHE,2020-02-21,2020-02-21 10:05:00,做多_趋势,多头,2020-02-21 10:10:00,2020-02-21 14:55:00,2212.31,2225.4,0.005916892298095666,59.17,2210.96,2165.564
RBreaker_S0.3,399006.XSHE,2020-02-24,2020-02-24 13:05:00,做多_趋势,多头,2020-02-24 13:10:00,2020-02-24 14:55:00,2254.08,2261.23,0.0031720258375922405,31.72,2249.571,2197.218
RBreaker_S0.3,399006.XSHE,2020-02-25,2020-02-25 09:45:00,做多_趋势,多头,2020-02-25 09:50:00,2020-02-25 14:55:00,2261.93,2282.36,0.009032109746986094,90.32,2255.9469999999997,2203.855
RBreaker_S0.3,399006.XSHE,2020-02-26,2020-02-26 10:55:00,做空_趋势,空头,2020-02-26 11:00:00,2020-02-26 14:55:00,2195.66,2182.45,0.0060164141989197395,60.16,2309.5750000000003,2199.9730000000004
RBreaker_S0.3,399006.XSHE,2020-02-28,2020-02-28 11:10:00,做空_趋势,空头,2020-02-28 11:15:00,2020-02-28 14:55:00,2104.7,2069.56,0.016695966170950705,166.96,2170.6940000000004,2107.802
RBreaker_S0.3,399006.XSHE,2020-03-02,2020-03-02 14:10:00,做多_趋势,多头,2020-03-02 14:15:00,2020-03-02 14:55:00,2144.83,2133.61,-0.005231183823426466,-52.31,2142.042,2063.706
RBreaker_S0.3,399006.XSHE,2020-03-03,2020-03-03 09:40:00,做多_趋势,多头,2020-03-03 09:45:00,2020-03-03 14:55:00,2206.92,2171.49,-0.0160540481757383,-160.54,2203.8559999999998,2140.631
RBreaker_S0.3,399006.XSHE,2020-03-04,2020-03-04 13:35:00,做空_趋势,空头,2020-03-04 13:40:00,2020-03-04 14:55:00,2126.96,2165.98,-0.018345431978034288,-183.45,2205.329,2126.84
RBreaker_S0.3,399006.XSHE,2020-03-06,2020-03-06 09:45:00,做多_趋势,多头,2020-03-06 09:50:00,2020-03-06 14:55:00,2211.63,2192.37,-0.008708509108666607,-87.09,2204.6820000000002,2168.3849999999998
RBreaker_S0.3,399006.XSHE,2020-03-09,2020-03-09 09:45:00,做空_趋势,空头,2020-03-09 09:50:00,2020-03-09 14:55:00,2132.2,2092.46,0.018638026451552325,186.38,2184.6530000000002,2143.838
RBreaker_S0.3,399006.XSHE,2020-03-10,2020-03-10 10:50:00,做空_趋势,空头,2020-03-10 10:55:00,2020-03-10 14:55:00,2052.71,2146.94,-0.045905169264045975,-459.05,2121.973,2057.29
RBreaker_S0.3,399006.XSHE,2020-03-11,2020-03-11 14:45:00,做空_趋势,空头,2020-03-11 14:50:00,2020-03-11 14:55:00,2102.76,2102.95,-9.035743498997384e-05,-0.9,2195.214,2105.763
RBreaker_S0.3,399006.XSHE,2020-03-12,2020-03-12 10:15:00,做空_趋势,空头,2020-03-12 10:20:00,2020-03-12 14:55:00,2051.5,2044.47,0.003426760906653614,34.27,2110.5419999999995,2054.661
RBreaker_S0.3,399006.XSHE,2020-03-13,2020-03-13 10:30:00,做多_趋势,多头,2020-03-13 10:35:00,2020-03-13 14:55:00,1997.61,2028.5,0.015463478857234536,154.63,1993.392,1948.302
RBreaker_S0.3,399006.XSHE,2020-03-16,2020-03-16 13:20:00,做空_趋势,空头,2020-03-16 13:25:00,2020-03-16 14:55:00,1969.83,1910.39,0.03017519278313352,301.75,2082.9259999999995,1977.2839999999999
RBreaker_S0.3,399006.XSHE,2020-03-17,2020-03-17 10:10:00,做空_趋势,空头,2020-03-17 10:15:00,2020-03-17 14:55:00,1870.48,1916.29,-0.024491039733116615,-244.91,1998.399,1877.502
RBreaker_S0.3,399006.XSHE,2020-03-19,2020-03-19 11:00:00,做空_趋势,空头,2020-03-19 11:05:00,2020-03-19 14:55:00,1847.42,1894.17,-0.02530556126922945,-253.06,1942.119,1857.744
RBreaker_S0.3,399006.XSHE,2020-03-23,2020-03-23 10:10:00,做空_趋势,空头,2020-03-23 10:15:00,2020-03-23 14:55:00,1846.7,1826.71,0.010824714355336496,108.25,1895.3200000000002,1850.293
RBreaker_S0.3,399006.XSHE,2020-03-24,2020-03-24 13:35:00,做空_趋势,空头,2020-03-24 13:40:00,2020-03-24 14:55:00,1826.5,1876.16,-0.02718861209964407,-271.89,1888.0550000000003,1829.843
RBreaker_S0.3,399006.XSHE,2020-03-25,2020-03-25 09:45:00,做多_趋势,多头,2020-03-25 09:50:00,2020-03-25 14:55:00,1937.31,1935.86,-0.0007484604941904172,-7.48,1936.2849999999999,1879.306
RBreaker_S0.3,399006.XSHE,2020-03-26,2020-03-26 09:50:00,做多_趋势,多头,2020-03-26 09:55:00,2020-03-26 14:55:00,1940.51,1928.29,-0.0062973135928183765,-62.97,1937.346,1915.26
RBreaker_S0.3,399006.XSHE,2020-03-27,2020-03-27 10:10:00,做空_趋势,空头,2020-03-27 10:15:00,2020-03-27 14:55:00,1929.57,1904.22,0.013137642065330524,131.38,1963.1399999999999,1932.288
RBreaker_S0.3,399006.XSHE,2020-03-30,2020-03-30 09:45:00,做空_趋势,空头,2020-03-30 09:50:00,2020-03-30 14:55:00,1860.18,1860.21,-1.612747153489913e-05,-0.16,1911.227,1861.808
RBreaker_S0.3,399006.XSHE,2020-04-01,2020-04-01 10:00:00,做多_趋势,多头,2020-04-01 10:05:00,2020-04-01 14:55:00,1887.87,1864.01,-0.0126385821057593,-126.39,1885.1270000000002,1864.058
RBreaker_S0.3,399006.XSHE,2020-04-02,2020-04-02 10:55:00,做多_趋势,多头,2020-04-02 11:00:00,2020-04-02 14:55:00,1883.57,1913.6,0.015943129270481027,159.43,1880.198,1846.079
RBreaker_S0.3,399006.XSHE,2020-04-07,2020-04-07 09:35:00,做多_趋势,多头,2020-04-07 09:40:00,2020-04-07 14:55:00,1948.47,1967.62,0.00982822419642071,98.28,1947.46,1920.865
RBreaker_S0.3,399006.XSHE,2020-04-09,2020-04-09 10:15:00,做多_趋势,多头,2020-04-09 10:20:00,2020-04-09 14:55:00,1985.62,1996.23,0.005343419183932552,53.43,1984.42,1968.382
RBreaker_S0.3,399006.XSHE,2020-04-10,2020-04-10 09:50:00,做空_趋势,空头,2020-04-10 09:55:00,2020-04-10 14:55:00,1978.16,1950.66,0.013901807740526517,139.02,2003.2740000000001,1979.586
RBreaker_S0.3,399006.XSHE,2020-04-14,2020-04-14 09:50:00,做多_趋势,多头,2020-04-14 09:55:00,2020-04-14 14:55:00,1946.91,1981.66,0.017848796297722958,178.49,1943.8,1922.767
RBreaker_S0.3,399006.XSHE,2020-04-16,2020-04-16 10:15:00,做多_趋势,多头,2020-04-16 10:20:00,2020-04-16 14:55:00,1986.68,2006.89,0.010172750518453011,101.73,1986.073,1961.809
RBreaker_S0.3,399006.XSHE,2020-04-17,2020-04-17 10:30:00,做多_趋势,多头,2020-04-17 10:35:00,2020-04-17 14:55:00,2039.21,2019.79,-0.009523295786113328,-95.23,2038.563,1998.7740000000001
RBreaker_S0.3,399006.XSHE,2020-04-20,2020-04-20 10:20:00,做多_趋势,多头,2020-04-20 10:25:00,2020-04-20 14:55:00,2042.42,2042.86,0.00021543071454432905,2.15,2041.45,2012.245
RBreaker_S0.3,399006.XSHE,2020-04-21,2020-04-21 09:40:00,做空_趋势,空头,2020-04-21 09:45:00,2020-04-21 14:55:00,2022.58,2023.81,-0.0006081341652741656,-6.08,2046.471,2027.598
RBreaker_S0.3,399006.XSHE,2020-04-22,2020-04-22 13:30:00,做多_趋势,多头,2020-04-22 13:35:00,2020-04-22 14:55:00,2029.13,2041.92,0.006303193979685817,63.03,2027.844,1992.9150000000002
RBreaker_S0.3,399006.XSHE,2020-04-23,2020-04-23 11:25:00,做空_趋势,空头,2020-04-23 11:30:00,2020-04-23 14:55:00,2028.34,2029.26,-0.0004535728723982224,-4.54,2066.4139999999998,2029.874
RBreaker_S0.3,399006.XSHE,2020-04-24,2020-04-24 10:30:00,做空_趋势,空头,2020-04-24 10:35:00,2020-04-24 14:55:00,2018.12,2003.8,0.007095712841654556,70.96,2046.682,2019.214
RBreaker_S0.3,399006.XSHE,2020-04-27,2020-04-27 10:40:00,做多_趋势,多头,2020-04-27 10:45:00,2020-04-27 14:55:00,2029.92,2017.97,-0.005886931504689885,-58.87,2028.8340000000003,1991.826
RBreaker_S0.3,399006.XSHE,2020-04-28,2020-04-28 09:55:00,做空_趋势,空头,2020-04-28 10:00:00,2020-04-28 14:55:00,1993.31,2029.01,-0.017909908644415662,-179.1,2040.247,2003.9050000000002
